sku,name,description,materials,image1,image2,image3,image4,color,brand,size,qty,price,category,Season,size_system,ean,Gender,Manufacturer,ID
10908-36,"Cocktail dress","This dress from Coperni new collection comes in a slim fit. The cocktail dress, here in black, is made of viscose and features a midi length and a zip closure at back.","98% Viscosa - 2% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10908_cocktail_mini_dress_vrients_vrnts_coperni_online_ss22_4.jpg?v=1645236477,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10908_cocktail_mini_dress_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652344610,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10908_cocktail_mini_dress_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652344610,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10908_cocktail_mini_dress_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236477,Black,Coperni,36,1,275.00,Dresses,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890690991,Women,Coperni,42364922396884
10908-38,"Cocktail dress","This dress from Coperni new collection comes in a slim fit. The cocktail dress, here in black, is made of viscose and features a midi length and a zip closure at back.","98% Viscosa - 2% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10908_cocktail_mini_dress_vrients_vrnts_coperni_online_ss22_4.jpg?v=1645236477,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10908_cocktail_mini_dress_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652344610,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10908_cocktail_mini_dress_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652344610,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10908_cocktail_mini_dress_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236477,Black,Coperni,38,1,275.00,Dresses,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890691004,Women,Coperni,42364922429652
10909-XS,"High neck fitted top","This top from Coperni new collection come in a tight fit. The high neck top, here in black and white, is made of viscose and features a zip closure at back and Coperni logo at front.","97% Viscosa - 3% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_4.jpg?v=1645236477,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652345876,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652345876,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236477,White,Coperni,XS,1,133.00,Tops,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890688653,Women,Coperni,42364973973716
10909-S,"High neck fitted top","This top from Coperni new collection come in a tight fit. The high neck top, here in black and white, is made of viscose and features a zip closure at back and Coperni logo at front.","97% Viscosa - 3% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_4.jpg?v=1645236477,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652345876,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652345876,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236477,White,Coperni,S,0,133.00,Tops,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890688660,Women,Coperni,42364974006484
10909-M,"High neck fitted top","This top from Coperni new collection come in a tight fit. The high neck top, here in black and white, is made of viscose and features a zip closure at back and Coperni logo at front.","97% Viscosa - 3% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_4.jpg?v=1645236477,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652345876,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652345876,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10909_high_neck_fitted_top_bw_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236477,White,Coperni,M,0,133.00,Tops,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890688677,Women,Coperni,42364974039252
10911-36,"Cut out sunray pleated skirt","This skirt from Coperni new collection comes in a regular fit. The pleated skirt, here in beige, is made of polyester and features an asymmetric cut and elasticated waistband with Coperni logo.","52% Polyester - 43% Wool - 5% Polyester",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10911_cut_out_sunray_pleated_skirt_vrients_vrnts_coperni_online_ss22_3.jpg?v=1657792324,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10911_cut_out_sunray_pleated_skirt_vrients_vrnts_coperni_online_ss22_4.jpg?v=1657792324,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10911_cut_out_sunray_pleated_skirt_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652345046,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10911_cut_out_sunray_pleated_skirt_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236479,Brown,Coperni,36,1,240.00,Skirts,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890687892,Women,Coperni,42364997828820
10911-38,"Cut out sunray pleated skirt","This skirt from Coperni new collection comes in a regular fit. The pleated skirt, here in beige, is made of polyester and features an asymmetric cut and elasticated waistband with Coperni logo.","52% Polyester - 43% Wool - 5% Polyester",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10911_cut_out_sunray_pleated_skirt_vrients_vrnts_coperni_online_ss22_3.jpg?v=1657792324,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10911_cut_out_sunray_pleated_skirt_vrients_vrnts_coperni_online_ss22_4.jpg?v=1657792324,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10911_cut_out_sunray_pleated_skirt_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652345046,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10911_cut_out_sunray_pleated_skirt_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236479,Brown,Coperni,38,0,240.00,Skirts,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890687908,Women,Coperni,42364997861588
10912-XS,"Off the shoulders bodysuit","This bodysuit from Coperni new collection comes in a tight fit. The off-the-shoulders veiled bodysuit, here in blue, is made of cotton and polyamide and features a floral pattern and elastic band with Coperni logo.","65% Cotton - 25% Polyamide - 10% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652346470,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_4.jpg?v=1652346470,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652346470,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236479,Blue,Coperni,XS,1,245.00,Bodies,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890689001,Women,Coperni,42365050749140
10912-S,"Off the shoulders bodysuit","This bodysuit from Coperni new collection comes in a tight fit. The off-the-shoulders veiled bodysuit, here in blue, is made of cotton and polyamide and features a floral pattern and elastic band with Coperni logo.","65% Cotton - 25% Polyamide - 10% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652346470,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_4.jpg?v=1652346470,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652346470,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236479,Blue,Coperni,S,0,350.00,Bodies,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890689018,Women,Coperni,42365050781908
10912-M,"Off the shoulders bodysuit","This bodysuit from Coperni new collection comes in a tight fit. The off-the-shoulders veiled bodysuit, here in blue, is made of cotton and polyamide and features a floral pattern and elastic band with Coperni logo.","65% Cotton - 25% Polyamide - 10% Elastane",https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_3.jpg?v=1652346470,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_4.jpg?v=1652346470,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_1.jpg?v=1652346470,https://cdn.shopify.com/s/files/1/0618/3875/4004/products/10912_off_the_shoulder_jersey_bodysuit_vrients_vrnts_coperni_online_ss22_5.jpg?v=1645236479,Blue,Coperni,M,0,350.00,Bodies,S/S2022,gid://shopify/OnlineStorePage/94661312724,5057890689025,Women,Coperni,42365050814676
